reference,nom,couleur,composition,texte_source
MH33111,"Push up model 33111 Axami",beige,"Cotton 33 % Spandex 7 % polyamide 33 % Polyurethane 16 % Polyester 11 %","Elegant beige bra with silicone, transparent back - perfect under fitted outfits with exposed back. Guarantees you a perfect effect and the highest comfort. The bra is equipped with removable magnifying inserts, front fastening and removable, adjustable silicone straps."
MH33114,"Push up model 33114 Axami",white,"Cotton 33 % Spandex 7 % polyamide 33 % Polyurethane 16 % Polyester 11 %","Elegant white bra with silicone, transparent back - perfect under fitted outfits with exposed back. It will guarantee you a perfect effect and the highest comfort. The bra has removable magnifying pads, a front fastening and removable, adjustable silicone straps."
MH33136,"T-backs model 33136 Axami",beige,"Cotton 3 % Spandex 19 % polyamide 78 % Viscose 5 %","Smooth microfiber thongs are the best complement to everyday dress, as well as evening or wedding outfit. Invisible under your clothes, they will give you a great look and the highest comfort."
MH33137,"T-backs model 33137 Axami",black,"Cotton 3 % Spandex 19 % polyamide 78 %","Smooth microfiber thong is the best complement to both everyday dress and evening outfit. Invisible under your clothes, they will give you a perfect look and the highest comfort."
MH33138,"T-backs model 33138 Axami",white,"Cotton 3 % Spandex 19 % polyamide 78 %","Smooth microfiber thongs are the best complement to everyday dress, as well as evening or wedding outfit. Invisible under your clothes, they will give you a great look and the highest comfort."
MH33149,"Soft model 33149 Axami",black,"Spandex 8 % polyamide 89 % Polyurethane 3 %","Soft bra Pansy V- 5091 will charm many a fan of soft bras, because it looks impressive and tempting. Lace front and black back harmonize with each other perfectly, and powder pink shining through the lace gives an amazing final effect.
The sides are made of smooth microfiber, reinforced with a vertical underwire. Between cups and on the straps flirtatious bows. Adjustable straps, not removable."
MH33154,"Cupless Bra model 33154 Axami",black,"Cotton 15 % Spandex 2 % polyamide 33 % Polyurethane 10 % Polyester 40 %","Sophisticated lace decorations and seductive sensuality of black create an intriguing composition. Feel Me bra is a perfect proposition for a night full of sensations, especially with thong V-5338. The model has adjustable, detachable straps."
MH33155,"Semi-soft model 33155 Axami",black,"Cotton 13 % Spandex 5 % polyamide 67 % Polyurethane 10 % Polyester 5 %","Intriguing V-5391 Praise Me bra will make you feel extremely sensual. The model surprises with a double layer of tulle and silver lace on the cups. It has standard adjustable straps, a hook-and-eye fastener and a neck tie. It will be perfect if you are looking for a dazzling and unique lingerie. Silver embroidery adds sophistication and elegance."
MH33157,"Cupless Bra model 33157 Axami",red,"Cotton 13 % Spandex 8 % polyamide 43 % Polyurethane 10 % Polyester 6 %","Fancy model impresses with the simplicity of the cup and the richness of lace inserts. Delicate and sensual at the same time, perfect for women who appreciate subtle eroticism. The neck tie and classic, detachable shoulder straps allow you to fit it perfectly to your needs. Passionate red colour will emphasize the smoothness of your skin. The highest quality fabrics guarantee exceptional comfort of wearing."
MH33158,"Push up model 33158 Axami",pink,"Cotton 124 % Nylon 33 % polyamide 24 % Polyurethane 11 % Polyester 7 %","Sophisticated Madamme bra impresses with pale delicacy of pink and tulle ribbon that decorates the cups. It is an avant-garde model, and yet classically elegant, as unique as you are. Let yourself be seduced by the caress of luxurious fabrics and the richness of accessories. In this cut, your bust will look tempting and sensual, and the detachable straps and three-stage adjustment will allow you to fit it perfectly to your needs."
MH33159,"T-backs model 33159 Axami",pink,"Cotton 10 % polyamide 6 %","This thong is a unique composition of excellent fabrics, remarkable colours and a cut designed to seduce. Find out how beautiful you can be in lingerie created with your perfect well-being and beauty in mind."
MH33173,"Cupless Bra model 33173 Axami",black,"Cotton 17 % Spandex 1 % Nylon 33 % polyamide 29 % Polyurethane 11 % Polyester 7 %","Perfect sensuality enchanted in the openwork of black lace Alluring Charm peek-a-boo bra is a wonderful compliment to your femininity. Thanks to it your beauty will shine like a jewel, and you will be able to enjoy the impression you make. The classic black will add elegance, while emphasizing the smoothness of your skin."
MH33174,"Soft model 33174 Axami",black,"Spandex 7 % polyamide 57 % Polyester 36 %","Soft balconette bra combines subtlety of lace and wildness of penetrating black. Delicately transparent tulle in the upper part of the cup discreetly reveals the beauty of feminine shapes. Back of the bra and straps are made of perfectly fitting black microfiber."
MH33175,"Push up model 33175 Axami",beige,"Cotton 35 % Spandex 1 % polyamide 14 % Polyurethane 16 % Polyester 34 %","Lily push-up bra guarantees not only the comfort of wearing, but also a delightful appearance. Perfectly selected push-up pads and intriguing pattern subtly emphasize the roundness of breasts."
MH33186,"Push up model 33186 Axami",pink,"Cotton 11 % Spandex 3 % polyamide 1 % Polyester 85 %","Elegant and original Lolita bra seduces with a combination of lace in two shades of pink and satin bows. Push-up cut will make your cleavage seductive and delightful. Detachable shoulder straps and removable inserts allow to fit it perfectly to your needs. Delicate, silky fabric will be a temptation for your senses."
MH33189,"Push up model 33189 Axami",black,"Cotton 30 % Spandex 2 % polyamide 21 % Polyurethane 13 % Polyester 34 %","Intriguing lace pattern decorates the cups of bra Indian Summer V-4921. In the network of black threads there are charming, small flowers. Specially designed cup, with push-up type cut."
MH33226,"Shapewear Body model 33226 Axami",black,"Cotton 2 % Spandex 7 % polyamide 91 % Viscose 3 %","Black, romantic Discover Me bodysuit is a combination of classic black and subtle, jewellery decorations. The lace pattern allows to enjoy the view of smooth skin, and the feminine pattern emphasizes the seductive character of this model. Fastened with hooks."
MH33237,"Corset model 33237 Axami",black,"Cotton 24 % Spandex 4 % polyamide 45 % Polyurethane 17 % Polyester 10 %","Intriguing V-5311 Hide Me bra surprises with its semi-corset cut and sensual back. Perfect as an addition to low-cut outfits. Detachable shoulder straps and push-up pads guarantee you a fantastic neckline! Silver embroidery adds sophistication and elegance."
MH33242,"Cupless Bra model 33242 Axami",white,"Cotton 21 % Spandex 7 % polyamide 39 % Polyurethane 14 % Polyester 19 %","Eat Me V-5261 bra is a proposal that can whet your appetite! Pink lace decorated with white, subtle embroidery will expose the beauty of your cleavage, and the seductive pink will emphasize the smoothness of the skin! The model has vertical underwiring and adjustable, detachable straps."
MH33254,"T-backs model 33254 Axami",black,"Spandex 4 % polyamide 56 % Polyester 40 %","Black, subtle Feel Me thong is a trinket that should not be missing from your wardrobe. Delicate tulle will provide extraordinary comfort of wearing."
MH33256,"Panties model 33256 Axami",black,"Cotton 4 % Spandex 7 % polyamide 79 % Polyester 10 %","Black Bell V-5133 panties are sewn from high quality microfiber found on the front and back of the model, while translucent black tulle with black and silver lace crowns the sides of the model.
<br/><br/>Composition: 79% polyamide, 10% polyester, 7% elastane, 4% cotton."
MH33272,"Sexy set model 33272 Axami",white,"Cotton 1 % Spandex 6 % polyamide 73 % Polyester 20 %","Romantic white combined with coquettish, intriguing cut creates an unforgettable composition. <br/>Model V-5069 Sheer Beauty is a feminine and seductive proposal, the transparency of tulle introduces an atmosphere of sensual playfulness, and the cut will emphasize your figure.
The incredible lightness of the fabric will be like a caress on your skin, and the embroidery and sexy neckline will make you irresistible.
Complete with thong."
MH33278,"Soft model 33278 Axami",white,"Spandex 1 % polyamide 25 % Polyester 75 %","Unusual embroidery on the transparent soft balconette bra White Lily V-5161 can enliven the senses and encourage you to own it. The secret way White Lily V-5161 gently reveals the beauty of the female body."
MH34340,"T-backs model 34340 Axami",black,"Spandex 7 % polyamide 92 % Polyurethane 1 %","V-5398 Praise Me thong seduces with sensual cut and remarkable lace, where black combines with silver. Elegant and sexy at the same time, they are the perfect choice when you are looking for unique lingerie!"
MH34343,"Belt model 34343 Axami",black,"Spandex 7 % polyamide 92 % Polyurethane 1 %","Exclusive Hide Me V-5312 garter belt is the ultimate in comfort and timeless elegance in one! Silver ornaments light up the black background of lace, making this model an unforgettable composition."
MH34345,"Cupless Bra model 34345 Axami",red,"Cotton 18 % Spandex 4 % polyamide 59 % Polyurethane 12 % Polyester 7 %","Original and incredibly sensual bra Seduce Me V-5211 is a combination of tulle and delicate lace, which is additionally decorated with satin bows. The model is equipped with standard adjustable straps, hooks fastening and neck tie."
MH34349,"Cupless Bra model 34349 Axami",red,"Cotton 34 % Spandex 2 % polyamide 14 % Polyurethane 23 % Polyester 27 %","Red semi bra V-5231 Notice Me seduces with baroque splendour of decorations, intriguing cut and frivolous accessories. You will feel extremely sensual and feminine in it. The model has adjustable, not removable straps and hooks fastening."
MH34354,"Cupless Bra model 34354 Axami",red,"Cotton 20 % Spandex 7 % polyamide 52 % Polyurethane 13 % Polyester 8 %","Timeless, sensual colors is a guarantee of unforgettable experience! Energetic red colour of V-5321 Excite Me bra was combined with openwork embroidery on the cups. Additional charm is given by tiny, subtle roses decorating the model."
MH34357,"Cupless Bra model 34357 Axami",black,"Cotton 17 % Spandex 1 % Nylon 35 % polyamide 29 % Polyurethane 11 % Polyester 7 %","Phenomenal V-4631 Hot Flow bra is an extremely tempting combination of red and black. Contrasting combination of colors and textures of materials will tempt the senses of touch and sight. Black lace beautifully emphasizes the smoothness of your skin, and the bold, exciting cut is a recipe for a night full of excitement!"
MH34375,"Stockings model 34375 Axami",beige,,"Fancy and romantic French Kiss V-5204 stockings are a perfect addition to many compositions! Floral pattern and original finish will guarantee you an unforgettable effect!"
MH34392,"Stockings model 34392 Axami",red,,"Extravagant and fancy stockings are the perfect choice when you are looking for a sensual accessory. They will emphasize the beauty of your legs and your love for special things."
MH34394,"Sexy set model 34394 Axami",white,"Cotton 1 % Spandex 19 % polyamide 75 % Polyester 5 %","Transparent Eat me V-5269 chemise is the quintessence of femininity. Delicate lace, dotted with small flowers will emphasize the color and delicacy of your skin. White embroidery will expose the beauty of the neckline. Thin shoulder straps, crossing on the back in a fanciful way, will add a touch of piquancy. Complete with thong."
MH34398,"T-backs model 34398 Axami",white,"Cotton 4 % Spandex 17 % polyamide 60 % Polyester 19 %","Thong Calia V-5158 made of smooth, white microfiber. Thanks to embroidered insertion on the sides they attract attention and tempt with their finesse."
MH34399,"Panties model 34399 Axami",white,"Cotton 4 % Spandex 6 % polyamide 79 % Polyester 11 %","Primrose panties V-5173 is a proposal for fans of more built-up panties."
MH34401,"Panties model 34401 Axami",pink,"Cotton 4 % Spandex 7 % Nylon 28 % polyamide 61 %","High-waisted briefs are a proposal which enjoys great popularity. Their cut allows to emphasize your silhouette and cover up any shortcomings of your figure. Feminine decorations and delicacy of lace underline the ultra-feminine character of this model."
MH34403,"Panties model 34403 Axami",pink,"Cotton 8 % Spandex 6 % Nylon 86 %","The brasiliana bikini is a lace masterpiece created especially to emphasize your beauty.  The cut will subtly emphasize the assets of your figure and the delicate fabric will caress your skin. Allow yourself a bit of delightful luxury."
MH34404,"Panties model 34404 Axami",black,"Spandex 22 % polyamide 78 %","Deceptively modest panties V-4643 surprises with an extremely sexy back. Transparent tulle and sensual lace openwork will reveal only a piece of the secret, it is up to you whether you want to reveal more. Avant-garde cut will ensure unique and passionate discoveries."
MH34407,"Panties model 34407 Axami",black,"Cotton 3 % Spandex 17 % polyamide 63 % Polyester 17 %","Black Moon Flower panties V-5123 combine simplicity and sophistication. The black microfiber front and back is decorated with sophisticated lace."
MH34410,"Panties model 34410 Axami",white,"Cotton 3 % Spandex 17 % polyamide 83 % Polyester 17 %","White Calia V-5153 panties made of smooth, white microfiber. Thanks to the embroidered insert on the sides they attract attention and tempt with their finesse."
MH34411,"T-backs model 34411 Axami",black,"Cotton 4 % Spandex 17 % polyamide 60 % Polyester 19 %","Transparent thong Moon Flower V-5128 is composed of embroidered tulle and tulle tape, crowning the top. They are undeniably eye-catching."
MH34421,"Soft model 34421 Axami",black,"Spandex 12 % polyamide 42 % Polyester 46 %","Moon flower soft bra V-5121 is a very original model due to the unusual combination of silvery-black lace with thin black tulle with silver accents."
MH34423,"Braceless bra model 34423 Axami",white,"Spandex 4 % polyamide 61 % Polyester 35 %","Primrose model, like a real primrose announcing spring, may become a harbinger of your new image. Transparent white soft balconette Primrose V-5171 crowned with delicate embroidery and decorated with ribbon will ensure spring freshness even on cold autumn and winter days."
MH34426,"Soft model 34426 Axami",white,"Spandex 12 % polyamide 42 % Polyester 46 %","Calia V-5151 soft bra impresses with its finesse and good taste. This is due to the combination of delicate white tulle with transparent lace with an original motif."
MH34435,"T-backs model 34435 Axami",black,"Cotton 17 % Spandex 7 % Polyester 76 %","Transparent Bell thong V-5138 made of subtly decorated tulle charms with its lightness."
MH34439,"T-backs model 34439 Axami",black,"Cotton 3 % Spandex 7 % polyamide 89 % Polyurethane 1 %","V-5318 Hide Me thong seduces with its classic cut and remarkable lace, where black combines with silver. Elegant and sexy at the same time, they are the perfect choice when you are looking for unique lingerie!"
MH34445,"T-backs model 34445 Axami",white,"Cotton 17 % Spandex 7 % Polyester 76 %","<Transparent thong Primrose V-5178 sewn from subtly decorated tulle enchant with its delicacy and wonderful look."
MH34449,"T-backs model 34449 Axami",red,"Cotton 14 % Spandex 10 % Polyester 76 %","Seductive Notice Me V-5238 thong will be a perfect complement to any sensual creation. Delicate dots decorating tulle and satin bows will not let go of your eyes."
MH34450,"Panties model 34450 Axami",pink,"Cotton 8 % Spandex 6 % Nylon 86 %","V-4245 brasiliana panties are a perfect complement to the Madamme bra, but they can also make an impression solo. Delicate pink highlights the smoothness of your skin, and subtle lace is feminine and elegant. This proposal is sensual and intriguing, perfect for everyday and special occasions."
MH34538,"Belt model 34538 Axami",red,"Spandex 10 % polyamide 90 %","Skimpy and sensual garter belt V-5362 Excite Me will catch your eyes and ignite your senses. The red of microfiber and subtle transparency of lace create a delightful composition. Hook-and-loop fastening at the back."
MH34542,"Belt model 34542 Axami",white,"Spandex 4 % polyamide 56 % Polyester 40 %","Delicate tulle garter belt finished with sensual embroidery and decorated with a double layer of white tape."
MH34544,"Belt model 34544 Axami",white,"Spandex 6 % polyamide 87 % Polyester 7 %","Finished with a coquettish and feminine frill V-5242 belt will turn heads. Subtle transparency of tulle and delicate decorations make this proposal unforgettable and unique. Perfect for special occasions. Fastened with hook-and-eye fasteners."
MH34546,"Belt model 34546 Axami",black,"Spandex 8 % polyamide 52 % Polyester 40 %","Very interesting garter belt Bell V-5132 will surely attract your attention. Under the black high quality tulle emerges transparent lace bottom shining with silver."
MH34562,"Sexy set model 34562 Axami",white,"Cotton 1 % Spandex 8 % polyamide 88 % Polyester 3 %","Sensual and seductive Windflower V-5059 chemise will enchant you with delicate as fog tulle, which softly wraps your body. <Subtle creases and delicacy of white create an unforgettable composition. Complete with thong."
MH34564,"Sexy set model 34564 Axami",black,"Cotton 1 % Spandex 33 % polyamide 66 % Polyester 3 %","Fascinating combination of contrasting colours, orange and classic black makes the V-5439 Love Me chemise an unforgettable proposition. Its cut will emphasize the natural beauty of your body, and the delicate fabrics guarantee the highest comfort of wearing. The chemise is tied up at the neck.
Comes with thong."
MH34570,"Sexy set model 34570 Axami",black,"Cotton 1 % Lycra 7 % polyamide 92 %","Corretto chemise is a feminine and sensual proposition, tempting with its transparent tulle and subtle frill... Its deep neckline will emphasize the beauty of your breasts, the light fabric will expose the soft lines of your body, and the shiny bow will enchant your senses. This model is airy and ethereal, and yet unlisteningly seductive - designed for a sophisticated and sexy woman, who appreciates noble lines and fabrics of the highest quality... In set with thong. SexyPlus line is a great way to be beautiful in every size!"
MH35586,"Push up model 35586 Axami",~,"Cotton 27 % Spandex 5 % polyamide 41 % Polyurethane 12 % Polyester 15 %","<br/>The combination of energetic coral colour and black accessories on the Coral bra seduces the senses. This model is original and intriguing, and at the same time extremely feminine. Between cups and on the straps flirtatious, large bows. The model has removable, adjustable straps, removable magnifying inserts, vertical whalebones and three-position fastening with two hooks."
MH35590,"Push up model 35590 Axami",black,"Cotton 35 % Spandex 3 % polyamide 30 % Polyurethane 5 % Polyester 10 %","<br/>The Jade bra intrigues with a combination of expressive lace and subtle ribbed fabric. The uniqueness of the design and versatility of the cut perfectly complement each other, giving you irreplaceable pleasure of wearing. Back made of double mesh. The model has removable, adjustable straps, removable magnifying inserts, vertical whalebones and three-position, two-hook fastening. Between cups and on straps flirtatious bows."
MH35593,"Belt model 35593 Axami",red,"Spandex 9 % polyamide 52 % Polyester 39 %","<br/>High and decorated with satin ribbon garter belt Notice Me is a simplicity of form and richness of accessories. Carefully designed cut will emphasize the assets of your silhouette. The model has a back hook-and-eye fastening and adjustable straps."
MH35599,"Push up model 35599 Axami",white,"Cotton 25 % Spandex 3 % polyamide 44 % Polyurethane 13 % Polyester 15 %","<br/>Elegant and sophisticated bra Cristal is a perfect choice for special occasions. Sensual charm of white lace is emphasized by a fancy sash running through both cups and a small satin flower.
The model has removable, adjustable straps, removable magnifying inserts, vertical whalebones and three-stage double hook fastening."
MH35603,"Push up model 35603 Axami",beige,"Cotton 35 % Spandex 3 % polyamide 30 % Polyethylene 5 % Polyurethane 17 % Polyester 10 %","<br/>Bra Jade V-5631 intrigues with a combination of expressive lace, ribbed microfiber and decorated with fluffy straps. Uniqueness of design and versatility of cut perfectly complement each other, giving you irreplaceable pleasure of wearing. The model has removable magnifying inserts, adjustable, detachable shoulder straps and vertical whalebones. Additional black shoulder straps included."
MH35607,"T-backs model 35607 Axami",beige,"Cotton 4 % Spandex 8 % polyamide 88 %","Coquettishly cut thong Black Sand. Transparency of lace, its delicate openwork on your skin and soft frill of tulle seduce your senses."
MH35608,"Panties model 35608 Axami",black,"Cotton 5 % Spandex 9 % polyamide 83 % Polyethylene 3 %","<Jade nighty with classic cut, tempting with transparent lace and subtle details."
MH35612,"T-backs model 35612 Axami",black,"Cotton 7 % Spandex 16 % polyamide 77 %","<br/>Sensual ladies thong. Warm coral colour will beautifully emphasize the smoothness of your skin, and black, contrasting accessories will catch your eye."
MH35617,"Panties model 35617 Axami",white,"Cotton 2 % Spandex 7 % polyamide 91 %","<High-waisted bikini from Cristal is a great way to feel feminine and beautiful. Comfortable cut will hide any imperfections, and tulle sash will be an exceptional finial of the whole composition."
MH35618,"Panties model 35618 Axami",red,"Spandex 7 % polyamide 93 %","<Deceptively modest panties V-5763 surprises with an extremely sexy back. Transparent tulle and sensual lace openwork will reveal just a sliver of the secret"
MH35619,"T-backs model 35619 Axami",beige,"Cotton 11 % Spandex 9 % polyamide 80 %","<Jade V-5638 is made of elastic lace with geometric patterns. Sexy, cut-out cut and openwork drawing will emphasize the smoothness of your skin."
MH35633,"T-backs model 35633 Axami",red,"Spandex 12 % polyamide 88 %","Seductive Excite Me V-5368 thong will emphasize the natural beauty of your figure. The red background allows to expose the subtle pattern of lace, and sensual cutouts the extraordinary smoothness of your skin."
MH35634,"Bodystocking model 35634 Axami",black,,"Sexy and provocative creation for hot evenings for two. Delicate mesh allows you to expose your feminine assets, and tempting cut-outs at the waist emphasize the roundness of your hips and the smoothness of your skin. The deep neckline seduces the senses, and the exciting lightness of this model makes it a proposal for a sophisticated temptress."
MH35635,"Belt model 35635 Axami",black,"Spandex 9 % polyamide 90 % Polyurethane 1 %","Exclusive Praise Me V-5392 garter belt is the ultimate comfort and timeless elegance in one! Silver ornaments light up the black background of lace, making this model an unforgettable composition."
MH35646,"Sexy set model 35646 Axami",black,"Cotton 2 % Spandex 10 % polyamide 85 % Polyurethane 3 %","Amazing Tempt Me V-5309 chemise cannot go unnoticed even under the cover of night, as it exudes femininity due to its sublime embroidery and high quality transparent tulle. It comes complete with a lace thong."
MH35649,"T-backs model 35649 Axami",white,"Cotton 14 % Spandex 13 % polyamide 56 % Polyester 17 %","<br/>The Eat Me V-5268 thong, decorated with white embroidery and satin bows, is distinguished by the delicacy of the fabric and unusual color."
MH35650,"Belt model 35650 Axami",white,"Spandex 18 % polyamide 73 % Polyester 9 %","<Fancy garter belt Eat Me V-5262 seduces with filigree embroidery and subtle lace openwork. It will beautifully emphasize your waistline and roundness of your hips. The belt has adjustable straps and hook-and-eye fastening at the back."
MH36589,"Soft model 36589 Axami",black,"Spandex 6 % polyamide 94 %","<br/>Fancy and sexy Chioma di Berenice bra is a great alternative to traditional bras. The coquettish soft cups encourage sensual discoveries, and the softness of the fabric will caress your skin."
MH36590,"Cupless Bra model 36590 Axami",black,"Cotton 14 % Spandex 5 % polyamide 56 % Polyurethane 9 % Polyester 6 % Viscose 10 %","Red, fiery flowers bloom with sophisticated embroidery on the cups of the Magma bra. Black lace is a wonderful background for them. Bold cut of cups exposes the beauty of your breasts. The back is made of delicate mesh. Between cups and on straps flirtatious, big bows. The model is tied up at the neck, has detachable, adjustable straps, vertical whalebones and three-positioning fastening with two hooks."
MH36591,"Cupless Bra model 36591 Axami",black,"Cotton 17 % Spandex 4 % polyamide 50 % Polyurethane 11 % Polyester 7 % Viscose 11 %","Red, fiery flowers bloom with sophisticated embroidery on the cups of the Marea bra. Black lace is a wonderful background for them. Bold cut of cups exposes the beauty of your breasts. The back is made of delicate mesh. Between cups and on straps flirtatious, big bows. The model has removable, adjustable straps, vertical whalebones and three-positioning fastening with two hooks."
MH36594,"Semi-soft model 36594 Axami",black,"Cotton 13 % Spandex 5 % polyamide 68 % Polyurethane 9 % Polyester 5 %","<br/>Intriguing Asteroide bra surprises with a double layer of tulle and golden lace on the cups. It will be perfect if you are looking for a dazzling and unique lingerie. Golden embroidery adds sophistication and elegance. The back is made of delicate mesh. Between cups and on straps flirtatious bows. The model is tied up at the neck, has removable, adjustable straps, vertical whalebones and three-positioning fastening with two hooks."
MH36595,"Cupless Bra model 36595 Axami",black,"Cotton 17 % Spandex 4 % polyamide 58 % Polyurethane 13 % Polyester 8 %","<Tempting with the golden glow of lace, Meteorite bra is a proposal for a woman aware of her beauty, sensual and passionate. Its cut will highlight the beauty of your breasts, the ornamentation will emphasize the smoothness of the skin, and the deep black adds elegance and charm. The back is made of delicate mesh. Between cups and on straps flirtatious, big bows. The model has removable, adjustable straps, vertical whalebones and three-position fastening with two hooks."
MH36596,"Semi-soft model 36596 Axami",red,"Cotton 12 % Spandex 13 % polyamide 62 % Polyurethane 8 % Polyester 5 %","Fancy Cometa bra enchants with lace finesse of cups covered with red tulle. Feminine, mysterious and sexy, just like you. Fastened with hooks and eyes and tied at the neck. The back is made of delicate mesh. A decorative flower between cups. The model is tied up at the neck, has removable, adjustable straps, vertical whalebones and three-position fastening with two hooks."
MH36597,"Soft model 36597 Axami",black,"Spandex 10 % polyamide 90 %","<br/>Fantastic and sensual Stella Maris bra impresses with seductive cuts on the cups and intriguing lace pattern. Phenomenally beautiful both from the front and from the back will win your heart and enchant your senses. The model is fastened at the front and tied at the neck."
